state,date,division,index
Johor,1/1/2010,overall,99.4
Johor,1/2/2010,overall,99.4
Johor,1/3/2010,overall,99.4
Johor,1/4/2010,overall,99.4
Johor,1/5/2010,overall,99.6
Johor,1/6/2010,overall,99.8
Johor,1/7/2010,overall,100.1
Johor,1/8/2010,overall,100.3
Johor,1/9/2010,overall,100.3
Johor,1/10/2010,overall,100.5
Johor,1/11/2010,overall,100.8
Johor,1/12/2010,overall,101.1
Johor,1/1/2011,overall,101.7
Johor,1/2/2011,overall,102.4
Johor,1/3/2011,overall,102.3
Johor,1/4/2011,overall,102.5
Johor,1/5/2011,overall,102.8
Johor,1/6/2011,overall,103.3
Johor,1/7/2011,overall,103.6
Johor,1/8/2011,overall,103.7
Johor,1/9/2011,overall,103.9
Johor,1/10/2011,overall,104.2
Johor,1/11/2011,overall,104.2
Johor,1/12/2011,overall,104.4
Johor,1/1/2012,overall,105
Johor,1/2/2012,overall,104.7
Johor,1/3/2012,overall,104.5
Johor,1/4/2012,overall,104.5
Johor,1/5/2012,overall,104.9
Johor,1/6/2012,overall,105.1
Johor,1/7/2012,overall,105.1
Johor,1/8/2012,overall,105.4
Johor,1/9/2012,overall,105.6
Johor,1/10/2012,overall,105.6
Johor,1/11/2012,overall,105.8
Johor,1/12/2012,overall,105.9
Johor,1/1/2013,overall,106.5
Johor,1/2/2013,overall,106.7
Johor,1/3/2013,overall,106.7
Johor,1/4/2013,overall,106.6
Johor,1/5/2013,overall,106.9
Johor,1/6/2013,overall,107.1
Johor,1/7/2013,overall,107.4
Johor,1/8/2013,overall,107.6
Johor,1/9/2013,overall,108.7
Johor,1/10/2013,overall,109.3
Johor,1/11/2013,overall,109.5
Johor,1/12/2013,overall,110
Johor,1/1/2014,overall,110.5
Johor,1/2/2014,overall,110.7
Johor,1/3/2014,overall,110.8
Johor,1/4/2014,overall,110.9
Johor,1/5/2014,overall,111
Johor,1/6/2014,overall,111.2
Johor,1/7/2014,overall,111.4
Johor,1/8/2014,overall,111.8
Johor,1/9/2014,overall,112
Johor,1/10/2014,overall,112.7
Johor,1/11/2014,overall,113.4
Johor,1/12/2014,overall,113.3
Johor,1/1/2015,overall,112.2
Johor,1/2/2015,overall,111.1
Johor,1/3/2015,overall,112.3
Johor,1/4/2015,overall,113.6
Johor,1/5/2015,overall,114
Johor,1/6/2015,overall,114.9
Johor,1/7/2015,overall,115.9
Johor,1/8/2015,overall,116.3
Johor,1/9/2015,overall,115.9
Johor,1/10/2015,overall,116.5
Johor,1/11/2015,overall,117.5
Johor,1/12/2015,overall,117.6
Johor,1/1/2016,overall,117.4
Johor,1/2/2016,overall,117.2
Johor,1/3/2016,overall,116.5
Johor,1/4/2016,overall,117.1
Johor,1/5/2016,overall,117.4
Johor,1/6/2016,overall,117.6
Johor,1/7/2016,overall,118.1
Johor,1/8/2016,overall,118.5
Johor,1/9/2016,overall,118.2
Johor,1/10/2016,overall,118.5
Johor,1/11/2016,overall,119.7
Johor,1/12/2016,overall,119.7
Johor,1/1/2017,overall,121.4
Johor,1/2/2017,overall,123.2
Johor,1/3/2017,overall,123
Johor,1/4/2017,overall,122.8
Johor,1/5/2017,overall,122.3
Johor,1/6/2017,overall,122.2
Johor,1/7/2017,overall,122.1
Johor,1/8/2017,overall,123.3
Johor,1/9/2017,overall,123.7
Johor,1/10/2017,overall,123.5
Johor,1/11/2017,overall,124.3
Johor,1/12/2017,overall,124.5
Johor,1/1/2018,overall,124.9
Johor,1/2/2018,overall,125
Johor,1/3/2018,overall,124.4
Johor,1/4/2018,overall,124.4
Johor,1/5/2018,overall,124.7
Johor,1/6/2018,overall,123.1
Johor,1/7/2018,overall,123.3
Johor,1/8/2018,overall,123.6
Johor,1/9/2018,overall,124
Johor,1/10/2018,overall,124.3
Johor,1/11/2018,overall,124.7
Johor,1/12/2018,overall,124.6
Johor,1/1/2019,overall,124
Johor,1/2/2019,overall,124.3
Johor,1/3/2019,overall,124.6
Johor,1/4/2019,overall,124.7
Johor,1/5/2019,overall,125
Johor,1/6/2019,overall,125
Johor,1/7/2019,overall,125.2
Johor,1/8/2019,overall,125.3
Johor,1/9/2019,overall,125.5
Johor,1/10/2019,overall,125.7
Johor,1/11/2019,overall,125.7
Johor,1/12/2019,overall,126
Johor,1/1/2020,overall,126.2
Johor,1/2/2020,overall,126
Johor,1/3/2020,overall,124.3
Johor,1/4/2020,overall,120.5
Johor,1/5/2020,overall,120.8
