Series,Date,i0 (Total GDP),i1 (Compensation of Employees),i2 (Gross Operating Surplus),i3 (Net Taxes on Products),i3.1 (Subsidies),i3.2 (Taxes on Products)
ABSOLUTE,1-Jan-10,821434,260682,530574,30179,,
ABSOLUTE,1-Jan-11,911733,292394,596989,22349,,
ABSOLUTE,1-Jan-12,971252,322809,630513,17929,,
ABSOLUTE,1-Jan-13,1018614,345568,652316,20730,,
ABSOLUTE,1-Jan-14,1106443,379127,694295,33021,,
ABSOLUTE,1-Jan-15,1176941.187,412240.002,709047.755,55653.43,64866.78,9213.351
ABSOLUTE,1-Jan-16,1249697.694,444489.008,740473.253,64735.433,72771.954,8036.522
ABSOLUTE,1-Jan-17,1372309.832,487764.331,819897.166,64648.335,73700.58,9052.245
ABSOLUTE,1-Jan-18,1447759.635,517927.151,881924.42,47908.064,60731.046,12822.982
ABSOLUTE,1-Jan-19,1512737.754,542657.944,914477.189,55602.62,66812.369,11209.748
ABSOLUTE,1-Jan-20,1418490.911,529996,849920,38575,61916,23342
ABSOLUTE,1-Jan-21,1548700.791,543374.552,968983.749,36342.49,66388.751,30046.261
ABSOLUTE,1-Jan-22,1794893.14,584066.163,1198003.185,12823.792,83251.035,70427.243
ABSOLUTE,1-Jan-23,1824018.518,611107.822,1172459.726,40450.97,86778.166,46327.196
ABSOLUTE,1-Jan-24,1932291.49,648477.108,1231520.239,52294.143,98710.382,46416.239
GROWTH_YOY,1-Jan-16,6.2,7.8,4.4,16.3,12.2,-12.8
GROWTH_YOY,1-Jan-17,9.8,9.7,10.7,-0.1,1.3,12.6
GROWTH_YOY,1-Jan-18,5.5,6.2,7.6,-25.9,-17.6,41.7
GROWTH_YOY,1-Jan-19,4.5,4.8,3.7,16.1,10,-12.6
GROWTH_YOY,1-Jan-20,-6.2,-2.3,-7.1,-30.6,-7.3,108.2
GROWTH_YOY,1-Jan-21,9.2,2.5,14,-5.8,7.2,28.7
GROWTH_YOY,1-Jan-22,15.9,7.5,23.6,-64.7,25.4,134.4
GROWTH_YOY,1-Jan-23,1.6,4.6,-2.1,215.4,4.2,-34.2
GROWTH_YOY,1-Jan-24,5.9,6.1,5,29.3,13.8,0.2
