Date,Variable,Age,SRU
1-Jan-17,Rate,Average,29.9
1-Apr-17,Rate,Average,31.8
1-Jul-17,Rate,Average,31.4
1-Oct-17,Rate,Average,32.7
1-Jan-18,Rate,Average,32.5
1-Apr-18,Rate,Average,33.2
1-Jul-18,Rate,Average,33.4
1-Oct-18,Rate,Average,32.8
1-Jan-19,Rate,Average,32.9
1-Apr-19,Rate,Average,32.8
1-Jul-19,Rate,Average,34.3
1-Oct-19,Rate,Average,34.8
1-Jan-20,Rate,Average,36.2
1-Apr-20,Rate,Average,36.5
1-Jul-20,Rate,Average,36.8
1-Oct-20,Rate,Average,37.4
1-Jan-21,Rate,Average,37.9
1-Apr-21,Rate,Average,37.7
1-Jul-21,Rate,Average,37.7
1-Oct-21,Rate,Average,37.5
1-Jan-22,Rate,Average,36.9
1-Apr-22,Rate,Average,36.7
1-Jul-22,Rate,Average,36.8
1-Oct-22,Rate,Average,37.4
1-Jan-23,Rate,Average,37.4
1-Apr-23,Rate,Average,37.4
1-Jul-23,Rate,Average,37.3
1-Oct-23,Rate,Average,37.4
1-Jan-24,Rate,Average,37.1
1-Apr-24,Rate,Average,37
1-Jul-24,Rate,Average,36.8
1-Oct-24,Rate,Average,36
1-Jan-17,Persons,Average,1182.9
1-Apr-17,Persons,Average,1280.6
1-Jul-17,Persons,Average,1311.6
1-Oct-17,Persons,Average,1332.8
1-Jan-18,Persons,Average,1306.9
1-Apr-18,Persons,Average,1408.1
1-Jul-18,Persons,Average,1446.3
1-Oct-18,Persons,Average,1404
1-Jan-19,Persons,Average,1460.8
1-Apr-19,Persons,Average,1417.2
1-Jul-19,Persons,Average,1554.5
1-Oct-19,Persons,Average,1540.9
1-Jan-20,Persons,Average,1637.3
1-Apr-20,Persons,Average,1674.1
1-Jul-20,Persons,Average,1762.7
1-Oct-20,Persons,Average,1886.8
1-Jan-21,Persons,Average,1899.9
1-Apr-21,Persons,Average,1852.5
1-Jul-21,Persons,Average,1873.8
1-Oct-21,Persons,Average,1838.3
1-Jan-22,Persons,Average,1810.1
1-Apr-22,Persons,Average,1799.6
1-Jul-22,Persons,Average,1839.6
1-Oct-22,Persons,Average,1891.4
1-Jan-23,Persons,Average,1907.2
1-Apr-23,Persons,Average,1914.6
1-Jul-23,Persons,Average,1922.7
1-Oct-23,Persons,Average,1937.1
1-Jan-24,Persons,Average,1931.3
1-Apr-24,Persons,Average,1935.9
1-Jul-24,Persons,Average,1949.3
1-Oct-24,Persons,Average,1932.6
1-Jan-17,Rate,15-24,63.3
1-Apr-17,Rate,15-24,65.3
1-Jul-17,Rate,15-24,62.9
1-Oct-17,Rate,15-24,63.4
1-Jan-18,Rate,15-24,63.7
1-Apr-18,Rate,15-24,66
1-Jul-18,Rate,15-24,65.1
1-Oct-18,Rate,15-24,66
1-Jan-19,Rate,15-24,64.2
1-Apr-19,Rate,15-24,67.1
1-Jul-19,Rate,15-24,66.6
1-Oct-19,Rate,15-24,63.6
1-Jan-20,Rate,15-24,68.9
1-Apr-20,Rate,15-24,69.2
1-Jul-20,Rate,15-24,72.2
1-Oct-20,Rate,15-24,68.8
1-Jan-21,Rate,15-24,71.8
1-Apr-21,Rate,15-24,69
1-Jul-21,Rate,15-24,72.6
1-Oct-21,Rate,15-24,68.9
1-Jan-22,Rate,15-24,69.6
1-Apr-22,Rate,15-24,58.1
