date,division,index
1/1/1960,overall,21.30924128
1/1/1961,overall,21.27079776
1/1/1962,overall,21.29386387
1/1/1963,overall,21.95509236
1/1/1964,overall,21.86667227
1/1/1965,overall,21.84360616
1/1/1966,overall,22.0550455
1/1/1967,overall,23.06418781
1/1/1968,overall,23.02766647
1/1/1969,overall,22.93347986
1/1/1970,overall,23.35635854
1/1/1971,overall,23.733105
1/1/1972,overall,24.50005316
1/1/1973,overall,27.08730183
1/1/1974,overall,31.78125522
1/1/1975,overall,33.20750968
1/1/1976,overall,34.08209969
1/1/1977,overall,35.71402697
1/1/1978,overall,37.44975175
1/1/1979,overall,38.81834094
1/1/1980,overall,41.40943396
1/1/1981,overall,45.42614906
1/1/1982,overall,48.06945126
1/1/1983,overall,49.85005692
1/1/1984,overall,51.79284953
1/1/1985,overall,51.97229041
1/1/1986,overall,52.35532767
1/1/1987,overall,52.50716226
1/1/1988,overall,53.84951808
1/1/1989,overall,55.36441321
1/1/1990,overall,56.81374339
1/1/1991,overall,59.28987571
1/1/1992,overall,62.11635944
1/1/1993,overall,64.31315752
1/1/1994,overall,66.7088037
1/1/1995,overall,69.01064107
1/1/1996,overall,71.41811832
1/1/1997,overall,73.31963614
1/1/1998,overall,77.18383172
1/1/1999,overall,79.3021893
1/1/2000,overall,80.55
1/1/2001,overall,81.68333333
1/1/2002,overall,83.15
1/1/2003,overall,84.05833333
1/1/2004,overall,85.24166667
1/1/2005,overall,87.775
1/1/2006,overall,90.95
1/1/2007,overall,92.80833333
1/1/2008,overall,97.84166667
1/1/2009,overall,98.425
1/1/2010,overall,100.0166667
1/1/2011,overall,103.2
1/1/2012,overall,104.9083333
1/1/2013,overall,107.1166667
1/1/2014,overall,110.4833333
1/1/2015,overall,112.8083333
1/1/2016,overall,115.15
1/1/2017,overall,119.525
1/1/2018,overall,120.6833333
1/1/2019,overall,121.4833333
1/1/2020,overall,120.1
1/1/2021,overall,123.075
1/1/2022,overall,127.2333333
1/1/2023,overall,130.4
1/1/2024,overall,132.7916667
1/1/1980,1,33.79318544
1/1/1981,1,37.63129783
1/1/1982,1,40.75339521
1/1/1983,1,41.12040802
1/1/1984,1,42.63718927
1/1/1985,1,41.58647319
1/1/1986,1,41.71419995
1/1/1987,1,41.1654335
1/1/1988,1,42.69758074
1/1/1989,1,44.32014495
1/1/1990,1,46.06591857
1/1/1991,1,48.31469905
1/1/1992,1,51.45497394
1/1/1993,1,52.62331158
1/1/1994,1,55.42228769
1/1/1995,1,58.11450547
1/1/1996,1,61.48532649
1/1/1997,1,63.97986048
1/1/1998,1,69.68277004
1/1/1999,1,72.92074581
1/1/2000,1,74.325
1/1/2001,1,74.825
1/1/2002,1,75.35833333
1/1/2003,1,76.36666667
1/1/2004,1,78.05
1/1/2005,1,80.89166667
1/1/2006,1,83.59166667
1/1/2007,1,86.15
1/1/2008,1,93.76666667
1/1/2009,1,97.65
1/1/2010,1,99.99166667
1/1/2011,1,104.8
1/1/2012,1,107.6166667
1/1/2013,1,111.45
1/1/2014,1,115.175
1/1/2015,1,119.3583333
1/1/2016,1,123.9083333
1/1/2017,1,128.8
1/1/2018,1,130.9
1/1/2019,1,133.0583333
1/1/2020,1,134.75
1/1/2021,1,137.1333333
1/1/2022,1,145.0166667
1/1/2023,1,152.0166667
1/1/2024,1,155.025
1/1/1980,2,18.16089428
1/1/1981,2,20.67972823
1/1/1982,2,22.05560198
1/1/1983,2,26.78541977
1/1/1984,2,27.73300014
1/1/1985,2,28.07073032
1/1/1986,2,28.52537563
1/1/1987,2,30.13673342
1/1/1988,2,30.59054915
1/1/1989,2,31.01310642
1/1/1990,2,32.06730028
1/1/1991,2,34.55513227
1/1/1992,2,37.52588763
1/1/1993,2,43.1027848
1/1/1994,2,45.22055942
1/1/1995,2,46.29075472
1/1/1996,2,47.30838038
1/1/1997,2,47.93025058
1/1/1998,2,50.00522881
1/1/1999,2,53.96009127
1/1/2000,2,55.50833333
1/1/2001,2,58.15833333
1/1/2002,2,60.55
1/1/2003,2,61.60833333
1/1/2004,2,66.41666667
1/1/2005,2,73.35833333
1/1/2006,2,78.45
1/1/2007,2,84.49166667
1/1/2008,2,90.7
1/1/2009,2,96.21666667
1/1/2010,2,100
1/1/2011,2,104.6083333
1/1/2012,2,105.025
1/1/2013,2,111.2833333
1/1/2014,2,124.2166667
1/1/2015,2,141
1/1/2016,2,165.2416667
1/1/2017,2,165.4916667
1/1/2018,2,165.3083333
1/1/2019,2,167.775
1/1/2020,2,168.3083333
1/1/2021,2,169.1583333
1/1/2022,2,170.1166667
1/1/2023,2,171.225
1/1/2024,2,172.4
1/1/1980,3,87.42939215
1/1/1981,3,95.75223855
1/1/1982,3,99.79910955
1/1/1983,3,103.6621679
1/1/1984,3,106.316322
1/1/1985,3,107.3745397
1/1/1986,3,107.7542102
1/1/1987,3,106.4488568
1/1/1988,3,108.6765309
1/1/1989,3,110.5366111
1/1/1990,3,112.4291651
