date,division,inflation
1/1/1961,overall,-0.180407722
1/1/1962,overall,0.108440268
1/1/1963,overall,3.105253656
1/1/1964,overall,-0.402731571
1/1/1965,overall,-0.105485232
1/1/1966,overall,0.967969025
1/1/1967,overall,4.57556214
1/1/1968,overall,-0.158346529
1/1/1969,overall,-0.409015025
1/1/1970,overall,1.843935966
1/1/1971,overall,1.613035964
1/1/1972,overall,3.231554224
1/1/1973,overall,10.56017574
1/1/1974,overall,17.32898098
1/1/1975,overall,4.487722269
1/1/1976,overall,2.633711507
1/1/1977,overall,4.788224014
1/1/1978,overall,4.860064586
1/1/1979,overall,3.654467998
1/1/1980,overall,6.674919535
1/1/1981,overall,9.7
1/1/1982,overall,5.81890003
1/1/1983,overall,3.704235463
1/1/1984,overall,3.897272601
1/1/1985,overall,0.346458791
1/1/1986,overall,0.737002855
1/1/1987,overall,0.290007909
1/1/1988,overall,2.556519453
1/1/1989,overall,2.813200897
1/1/1990,overall,2.617801047
1/1/1991,overall,4.358333333
1/1/1992,overall,4.7672283
1/1/1993,overall,3.536585366
1/1/1994,overall,3.724970554
1/1/1995,overall,3.450575096
1/1/1996,overall,3.488559459
1/1/1997,overall,2.662514597
1/1/1998,overall,5.270342003
1/1/1999,overall,2.744561302
1/1/2000,overall,1.573488339
1/1/2001,overall,1.406993586
1/1/2002,overall,1.795551928
1/1/2003,overall,1.092403287
1/1/2004,overall,1.407752553
1/1/2005,overall,2.971942516
1/1/2006,overall,3.617203076
1/1/2007,overall,2.043247205
1/1/2008,overall,5.423363563
1/1/2009,overall,0.596201346
1/1/2010,overall,1.617136568
1/1/2011,overall,3.182802866
1/1/2012,overall,1.655361757
1/1/2013,overall,2.105012312
1/1/2014,overall,3.142990509
1/1/2015,overall,2.104389802
1/1/2016,overall,2.075792273
1/1/2017,overall,3.799392097
1/1/2018,overall,0.969113853
1/1/2019,overall,0.662891866
1/1/2020,overall,-1.138702154
1/1/2021,overall,2.477102415
1/1/2022,overall,3.378698625
1/1/2023,overall,2.488865601
1/1/2024,overall,1.834100204
1/1/1981,1,11.35765196
1/1/1982,1,8.296544542
1/1/1983,1,0.900569891
1/1/1984,1,3.688633761
1/1/1985,1,-2.464318365
1/1/1986,1,0.307135365
1/1/1987,1,-1.315538727
1/1/1988,1,3.721926659
1/1/1989,1,3.80013148
1/1/1990,1,3.939007029
1/1/1991,1,4.881657727
1/1/1992,1,6.499626317
1/1/1993,1,2.270601952
1/1/1994,1,5.31889009
1/1/1995,1,4.857644631
1/1/1996,1,5.800309219
1/1/1997,1,4.057120836
1/1/1998,1,8.913601118
1/1/1999,1,4.646738023
1/1/2000,1,1.925726584
1/1/2001,1,0.672721157
1/1/2002,1,0.712774251
1/1/2003,1,1.338051532
1/1/2004,1,2.204277608
1/1/2005,1,3.640828529
1/1/2006,1,3.337797466
1/1/2007,1,3.060512412
1/1/2008,1,8.841168505
1/1/2009,1,4.141485958
1/1/2010,1,2.39802014
1/1/2011,1,4.808734061
1/1/2012,1,2.687659033
1/1/2013,1,3.562025709
1/1/2014,1,3.342305967
1/1/2015,1,3.632153969
1/1/2016,1,3.812050548
