,date,inflation,ppi,cpi,lf,p_rate,u_rate,lf_unemployed,lf_outside,ep_ratio
0,2010-01-01,0.0020000000000000018,98.4,99.4,12367.9,64.1,3.5,436.7,6927.5,61.8
1,2010-02-01,0.0020000000000000018,98.4,99.4,12059.8,62.5,3.5,427.4,7225.1,60.3
2,2010-03-01,0.0020000000000000018,99.9,99.4,12324.2,63.8,3.5,428.3,6993.0,61.6
3,2010-04-01,0.0020000000000000018,99.8,99.4,12512.0,64.5,3.0,378.5,6894.5,62.5
4,2010-05-01,0.0040039999999998965,98.6,99.6,12197.6,62.9,3.3,398.7,7186.0,60.9
5,2010-06-01,0.005008003999999788,99.0,99.7,12331.8,63.6,3.6,449.6,7065.0,61.3
6,2010-07-01,0.008023028011999722,98.5,100.0,12516.2,64.5,3.3,416.7,6900.5,62.3
7,2010-08-01,0.011047097096035685,99.0,100.3,12320.9,63.2,3.1,384.3,7157.9,61.3
8,2010-09-01,0.01205814419313156,98.8,100.4,12289.9,63.1,3.1,377.8,7194.4,61.1
9,2010-10-01,0.014082260481517839,100.9,100.6,12689.5,65.0,2.7,346.8,6846.7,63.2
10,2010-11-01,0.016110425002480833,102.9,100.8,12277.5,62.7,3.3,403.4,7298.3,60.7
11,2010-12-01,0.0201748667024908,105.9,101.2,12822.3,65.6,3.2,404.1,6722.3,63.5
12,2011-01-01,0.026295915902705858,108.3,101.8,12804.2,65.0,3.3,428.2,6881.6,62.9
13,2011-02-01,0.03142739548221929,109.4,102.3,12618.9,64.0,3.0,373.6,7110.3,62.1
14,2011-03-01,0.03245882287770141,111.8,102.4,12862.2,65.0,2.9,370.4,6940.1,63.1
15,2011-04-01,0.03452374052345686,113.2,102.6,12921.7,65.1,3.0,384.6,6930.6,63.2
16,2011-05-01,0.0376273117450272,113.2,102.9,12726.6,64.1,3.1,396.3,7133.2,62.1
17,2011-06-01,0.04074019368026227,113.5,103.2,12782.7,64.4,3.2,410.1,7073.7,62.3
18,2011-07-01,0.04282167406762283,113.3,103.4,12967.4,65.2,3.0,385.9,6920.5,63.3
19,2011-08-01,0.04490731741575815,113.5,103.6,12887.9,64.7,3.1,401.2,7038.6,62.7
20,2011-09-01,0.04804203936800522,113.2,103.9,12875.9,64.7,3.2,419.0,7032.2,62.6
21,2011-10-01,0.04909008140737314,112.9,104.0,12938.2,64.7,3.0,388.1,7045.7,62.8
22,2011-11-01,0.05013917148878044,112.2,104.1,12722.4,63.7,3.1,398.7,7245.7,61.7
23,2011-12-01,0.051189310660269216,113.4,104.2,13092.1,65.2,3.1,404.9,6997.3,63.2
24,2012-01-01,0.054342878592249955,113.4,104.5,13191.6,65.7,3.1,410.4,6878.5,63.7
25,2012-02-01,0.054342878592249955,114.0,104.5,13054.5,65.0,3.1,408.9,7042.3,62.9
26,2012-03-01,0.054342878592249955,115.3,104.5,13295.4,65.8,3.0,401.6,6897.3,63.8
27,2012-04-01,0.054342878592249955,115.8,104.5,13331.8,66.0,3.0,394.8,6851.3,64.1
28,2012-05-01,0.056451564349434546,114.1,104.7,13245.6,65.6,2.9,384.4,6952.9,63.7
29,2012-06-01,0.05750801591378396,111.5,104.8,13232.5,65.4,3.2,421.0,7013.7,63.3
30,2012-07-01,0.05750801591378396,112.4,104.8,13511.7,66.6,3.1,418.4,6777.3,64.5
31,2012-08-01,0.05962303194561147,112.8,105.0,13313.6,65.4,2.6,350.2,7039.9,63.7
32,2012-09-01,0.061742278009502716,110.8,105.2,13408.5,65.7,3.2,424.0,6993.2,63.6
33,2012-10-01,0.06386576256552168,108.5,105.4,13341.4,65.4,3.2,432.6,7056.2,63.3
34,2012-11-01,0.06492962832808713,107.0,105.5,13429.2,65.4,2.9,384.6,7094.6,63.6
35,2012-12-01,0.06492962832808713,106.0,105.5,13538.6,65.7,3.1,424.3,7060.6,63.7
36,2013-01-01,0.06918934684139955,107.9,105.9,13569.6,65.9,3.4,459.8,7035.5,63.6
37,2013-02-01,0.07132772553508238,109.6,106.1,13598.8,65.6,3.0,402.9,7119.8,63.7
38,2013-03-01,0.07239905326061735,108.2,106.2,13684.4,65.8,3.2,442.6,7116.7,63.7
39,2013-04-01,0.07347145231387775,107.3,106.3,13835.6,66.6,3.0,412.8,6922.7,64.7
40,2013-05-01,0.07669186667081918,106.6,106.6,13815.3,66.4,3.2,446.4,7005.6,64.2
41,2013-06-01,0.07776855853748987,107.6,106.7,14217.1,68.1,2.8,400.2,6668.6,66.2
42,2013-07-01,0.07992409565456482,108.2,106.9,14194.6,68.1,3.0,431.6,6655.9,66.0
43,2013-08-01,0.08100401975021931,108.8,107.0,14176.6,67.9,3.1,442.4,6689.8,65.8
44,2013-09-01,0.08965205190822112,109.4,107.9,14309.4,68.6,3.1,449.9,6557.3,66.4
45,2013-10-01,0.0940106601158539,109.4,108.3,14169.2,67.7,3.3,470.1,6746.3,65.5
46,2013-11-01,0.0972926920962014,110.2,108.6,14220.9,67.9,3.4,490.5,6716.2,65.6
47,2013-12-01,0.1005845701724899,112.2,108.9,14276.5,68.0,3.1,440.3,6724.2,65.9
48,2014-01-01,0.10718807759352478,111.9,109.5,14244.4,67.9,3.3,468.5,6734.7,65.7
49,2014-02-01,0.11050964182630518,113.4,109.8,14249.9,67.7,3.2,462.0,6808.7,65.5
50,2014-03-01,0.11162015146813142,113.9,109.9,14198.4,67.1,3.0,430.1,6956.1,65.1
51,2014-04-01,0.11162015146813142,113.1,109.9,14206.7,67.5,2.9,413.5,6849.4,65.5
52,2014-05-01,0.11273177161959946,112.2,110.0,14430.2,68.3,2.8,407.2,6693.2,66.4
53,2014-06-01,0.11495723516283873,111.4,110.2,14373.4,67.8,2.8,406.4,6826.6,65.9
54,2014-07-01,0.11607219239800148,111.0,110.3,14333.4,67.7,2.8,397.6,6846.2,65.8
55,2014-08-01,0.11830433678279739,109.6,110.5,14266.3,67.3,2.7,384.9,6934.1,65.5
56,2014-09-01,0.12054094545636307,109.2,110.7,14440.2,68.1,2.6,381.8,6763.7,66.3
57,2014-10-01,0.12614365018364482,107.8,111.3,14403.1,67.5,2.6,379.9,6926.7,65.7
58,2014-11-01,0.13177436843456292,107.3,111.9,14404.1,67.6,2.6,378.7,6887.1,65.9
59,2014-12-01,0.13064259406612844,104.5,111.8,14512.0,68.1,3.1,451.7,6784.8,66.0
60,2015-01-01,0.11820552553140096,104.1,110.6,14442.0,67.6,3.1,450.3,6923.7,65.5
61,2015-02-01,0.11149629237821257,104.6,109.9,14554.7,68.0,3.2,461.8,6847.8,65.8
62,2015-03-01,0.12149975900961629,103.8,110.9,14601.2,68.1,3.0,440.7,6839.3,66.0
63,2015-04-01,0.13159325684070278,103.1,111.9,14569.5,67.9,3.0,433.3,6890.2,65.9
64,2015-05-01,0.13611962986806558,101.6,112.3,14575.0,67.8,3.1,448.3,6933.5,65.7
65,2015-06-01,0.14293634764727403,101.2,113.0,14609.9,67.9,3.2,463.2,6896.2,65.8
66,2015-07-01,0.1520798384284523,101.1,113.9,14579.1,67.8,3.2,472.9,6937.7,65.6
