digits,division,group,class,subclass,desc_en,desc_bm
1,overall,-,-,-,All items,Semua item
2,1,-,-,-,Food & Beverages,Makanan & Minuman
3,1,1,-,-,Food away from home,Makanan di luar rumah
4,1,1,11,-,Food away from home,Makanan di luar rumah
5,1,1,11,111,Food away from home,Makanan di luar rumah
3,1,11,-,-,Food at home,Makanan di rumah
4,1,11,111,-,Cereals & cereal products,Bijirin & produk bijirin
5,1,11,111,1111,Cereals,Bijirin
5,1,11,111,1112,Flour of cereals,Tepung bijirin
5,1,11,111,1113,Bread & bakery products,Roti & produk bakeri
5,1,11,111,1114,Breakfast cereals,Bijirin sarapan
5,1,11,111,1115,"Macaroni, noodles & pasta products","Makaroni, mi & produk pasta"
4,1,11,112,-,Meat,Daging
5,1,11,112,1122,"Meat, fresh, chilled or frozen","Daging segar, disejukkan atau beku"
5,1,11,112,1124,"Offal fresh, chilled or frozen","Organ dalaman segar, disejukkan atau beku"
5,1,11,112,1125,Food preparation from meat and offal,Makanan tersedia dari daging dan organ dalaman
4,1,11,113,-,Fish & other seafood,Ikan & makanan laut lain
5,1,11,113,1131,"Fish, live, fresh, chilled or frozen","Ikan hidup, segar, sejuk & beku"
5,1,11,113,1132,"Fish, dried and salted",Ikan yang dikeringkan dan diasinkan
5,1,11,113,1133,Fish preparations,Makanan tersedia dari ikan
5,1,11,113,1134,"Other seafood, live, fresh, chilled or frozen","Makanan laut lain hidup, segar, sejuk atau beku"
5,1,11,113,1135,"Other seafood, dried, salted, in brine or smoked","Makanan laut lain yang dikeringkan, diasinkan"
5,1,11,113,1136,Other seafood preparations,Makanan tersedia dari makanan laut lain
4,1,11,114,-,"Milk, other dairy products & eggs","Susu, produk tenusu lain & telur"
5,1,11,114,1141,Raw & whole milk,Susu asli & susu yang dibancuh
5,1,11,114,1143,Other milk & cream,Lain-lain susu & krim
5,1,11,114,1144,Non-animal milk,Susu bukan daripada sumber haiwan
5,1,11,114,1145,Cheese,Keju
5,1,11,114,1146,Yoghurt & similar products,Yogurt & produk seumpamanya
5,1,11,114,1148,Eggs,Telur
4,1,11,115,-,Oils & fats,Minyak & lemak
5,1,11,115,1151,Vegetable oils,Minyak sayuran
5,1,11,115,1152,Butter & other fats & oils derived from milk,Mentega & lemak & minyak lain yang dihasilkan daripada susu
5,1,11,115,1153,Margarine & similar preparations,Marjerin & produk seumpamanya
4,1,11,116,-,Fruits & nuts,Buah-buahan & kacang
5,1,11,116,1161,"Dates, figs & tropical fruits, fresh","Kurma, buah tin & buah-buahan tropika, segar"
5,1,11,116,1162,"Citrus fruits, fresh",Buah-buahan sitrus
5,1,11,116,1163,"Stone fruits & pome fruits, fresh",Buah-buahan stone & pome
5,1,11,116,1165,"Other fruits, fresh",Buah-buahan segar lain
5,1,11,116,1168,"Nuts, in shell or shelled",Kacang dengan kulit atau telah dikupas
