state,date,poverty_absolute,poverty_hardcore,poverty_relative
Johor,1/1/1970,45.7,,
Johor,1/1/1976,29,,
Johor,1/1/1979,18.2,,
Johor,1/1/1984,12.2,3.1,
Johor,1/1/1987,11.1,2.6,
Johor,1/1/1989,10.1,1.5,
Johor,1/1/1992,5.6,1.1,
Johor,1/1/1995,3.1,0.5,16.1
Johor,1/1/1997,1.6,0.3,15.8
Johor,1/1/1999,2.5,0.4,15.6
Johor,1/1/2002,1.8,0.2,16.1
Johor,1/1/2004,2,0.3,15.3
Johor,1/1/2007,1.5,0.2,14.2
Johor,1/1/2009,1.3,0.1,17.2
Johor,1/1/2012,0.9,0.1,16.1
Johor,1/1/2014,0,0,10.2
Johor,1/1/2016,0,0,13.5
Johor,1/1/2019,3.9,0.2,15.3
Johor,1/1/2020,5.9,0.6,13.9
Johor,1/1/2022,4.6,0.1,15.9
Kedah,1/1/1970,63.2,,
Kedah,1/1/1976,61,,
Kedah,1/1/1979,53.8,,
Kedah,1/1/1984,36.6,13.5,
Kedah,1/1/1987,31.3,9.8,
Kedah,1/1/1989,30,8.4,
Kedah,1/1/1992,21.2,5.4,
Kedah,1/1/1995,12.2,3.7,16.3
Kedah,1/1/1997,11.5,3.9,18.7
Kedah,1/1/1999,13.5,3.1,19.1
Kedah,1/1/2002,10.7,3,18.5
Kedah,1/1/2004,7,1.3,15.7
Kedah,1/1/2007,3.1,0.3,11.8
Kedah,1/1/2009,5.3,0.8,16
Kedah,1/1/2012,1.7,0.1,16.5
Kedah,1/1/2014,0.3,0,12.1
Kedah,1/1/2016,0.2,0,15.9
Kedah,1/1/2019,8.8,0.5,10.9
Kedah,1/1/2020,12.7,1.5,10
Kedah,1/1/2022,9,0.3,11.9
Kelantan,1/1/1970,76.1,,
Kelantan,1/1/1976,67.1,,
Kelantan,1/1/1979,55,,
Kelantan,1/1/1984,39.2,15.5,
Kelantan,1/1/1987,31.6,7.6,
Kelantan,1/1/1989,29.9,7.2,
Kelantan,1/1/1992,29.5,8.7,
Kelantan,1/1/1995,22.9,7.4,20.8
Kelantan,1/1/1997,19.5,5.7,17.8
Kelantan,1/1/1999,18.7,4.3,16.7
Kelantan,1/1/2002,12.4,3.6,15.4
Kelantan,1/1/2004,10.6,1.3,12.1
Kelantan,1/1/2007,7.2,1.5,10.2
Kelantan,1/1/2009,4.8,1,11.4
Kelantan,1/1/2012,2.7,0.3,14.3
Kelantan,1/1/2014,0.9,0.2,12.4
Kelantan,1/1/2016,0.4,0.1,12.1
Kelantan,1/1/2019,12.4,1,9.9
Kelantan,1/1/2020,21.2,4.1,11.4
Kelantan,1/1/2022,13.2,0.8,12.2
Melaka,1/1/1970,44.9,,
Melaka,1/1/1976,32.4,,
Melaka,1/1/1979,20.4,,
Melaka,1/1/1984,15.8,5.5,
Melaka,1/1/1987,11.7,3.8,
Melaka,1/1/1989,12.4,3.8,
Melaka,1/1/1992,8.5,1.8,
Melaka,1/1/1995,5.3,1.6,15.8
Melaka,1/1/1997,3.6,0.6,15.7
Melaka,1/1/1999,5.7,1.5,17.2
Melaka,1/1/2002,2.7,0.1,16.1
Melaka,1/1/2004,1.8,0.2,16.3
Melaka,1/1/2007,1.8,0.2,16.5
Melaka,1/1/2009,0.5,0.1,14.8
Melaka,1/1/2012,0.1,0,15.4
Melaka,1/1/2014,0.1,0,8.8
Melaka,1/1/2016,0,0,10.7
Melaka,1/1/2019,3.9,0.3,17
Melaka,1/1/2020,6.1,1.1,14.4
Melaka,1/1/2022,4.2,0.1,13.2
Negeri Sembilan,1/1/1970,44.8,,
Negeri Sembilan,1/1/1976,33,,
Negeri Sembilan,1/1/1979,26.3,,
Negeri Sembilan,1/1/1984,13,3.7,
Negeri Sembilan,1/1/1987,21.5,5.5,
Negeri Sembilan,1/1/1989,9.5,2.2,
Negeri Sembilan,1/1/1992,8.1,1.8,
Negeri Sembilan,1/1/1995,4.9,1,15.1
Negeri Sembilan,1/1/1997,4.5,1.2,15.6
Negeri Sembilan,1/1/1999,2.5,0.5,17.1
Negeri Sembilan,1/1/2002,2.2,0.3,18.1
Negeri Sembilan,1/1/2004,1.4,0.2,16.8
Negeri Sembilan,1/1/2007,1.3,0.1,15.3
Negeri Sembilan,1/1/2009,0.7,0.1,12.7
Negeri Sembilan,1/1/2012,0.5,0.1,15.5
Negeri Sembilan,1/1/2014,0.4,0.1,13
Negeri Sembilan,1/1/2016,0.2,0,15.5
Negeri Sembilan,1/1/2019,4.3,0.4,11.6
Negeri Sembilan,1/1/2020,6.5,1.2,10.5
Negeri Sembilan,1/1/2022,4.4,0.1,13.3
Pahang,1/1/1970,43.2,,
Pahang,1/1/1976,38.9,,
Pahang,1/1/1979,26.9,,
Pahang,1/1/1984,15.7,5.4,
Pahang,1/1/1987,12.3,2.4,
Pahang,1/1/1989,10.2,2.1,
Pahang,1/1/1992,6.9,1.1,
Pahang,1/1/1995,6.8,1.2,13.8
Pahang,1/1/1997,4.1,0.8,10.3
Pahang,1/1/1999,5.5,0.4,9
Pahang,1/1/2002,3.8,0.1,12.8
Pahang,1/1/2004,4,1,14
Pahang,1/1/2007,1.7,0.4,9.4
Pahang,1/1/2009,2.1,0.3,12
Pahang,1/1/2012,1.3,0.2,12.7
Pahang,1/1/2014,0.7,0,12.1
Pahang,1/1/2016,0.2,0,8.2
Pahang,1/1/2019,4.3,0.1,6
Pahang,1/1/2020,8.8,1,7.3
Pahang,1/1/2022,6.3,0.1,7.7
Perak,1/1/1970,48.6,,
Perak,1/1/1976,43,,
Perak,1/1/1979,30.5,,
Perak,1/1/1984,20.3,6.7,
Perak,1/1/1987,19.9,5.8,
Perak,1/1/1989,19.3,4.9,
Perak,1/1/1992,10.2,1.9,
Perak,1/1/1995,9.1,1.9,16.5
Perak,1/1/1997,4.5,0.9,15.4
Perak,1/1/1999,9.5,1.4,15.7
Perak,1/1/2002,7.9,1.3,17.6
Perak,1/1/2004,4.9,1.1,18.4
Perak,1/1/2007,3.4,0.7,14.3
